epoch,train_loss,train_dice,val_loss,val_dice,lr
1,0.729027,0.236244,0.648567,0.294398,0.0003
2,0.629008,0.265171,0.566237,0.327006,0.0003
3,0.570501,0.289318,0.514159,0.357286,0.0003
4,0.539125,0.306468,0.502907,0.35735,0.0003
5,0.520323,0.320315,0.484961,0.377828,0.0003
6,0.509475,0.329463,0.478645,0.381358,0.0003
7,0.500606,0.339248,0.481803,0.372535,0.0003
8,0.489808,0.352585,0.470111,0.392222,0.0003
9,0.487868,0.353843,0.482435,0.369681,0.0003
10,0.47804,0.366508,0.4727,0.382809,0.0003
11,0.478123,0.36538,0.476665,0.378402,0.0003
12,0.473407,0.372005,0.456974,0.406562,0.0003
13,0.464975,0.383406,0.468578,0.392085,0.0003
14,0.464723,0.383373,0.45381,0.411307,0.0003
15,0.45874,0.391233,0.460287,0.400019,0.0003
16,0.46015,0.388792,0.454536,0.412266,0.0003
17,0.451856,0.400596,0.466821,0.390695,0.0003
18,0.453903,0.39724,0.454197,0.410098,0.0003
19,0.451205,0.401058,0.446077,0.4219,0.0003
20,0.445733,0.408631,0.444803,0.42515,0.0003
21,0.446391,0.40722,0.459221,0.401967,0.0003
22,0.444781,0.409633,0.448722,0.418929,0.0003
23,0.443685,0.41055,0.448802,0.417218,0.0003
24,0.4388,0.417784,0.462761,0.396846,0.0003
25,0.438152,0.418297,0.451047,0.412601,0.0003
26,0.435245,0.422184,0.453349,0.411237,0.00015
27,0.41999,0.442792,0.468064,0.385488,0.00015
28,0.413689,0.451306,0.444599,0.421292,0.00015
29,0.414973,0.449515,0.443628,0.424587,0.00015
30,0.412477,0.453099,0.475972,0.377561,0.00015
